,Year,Eff,3PA,3PM,2PA,2PM,FTA,FTM,3P%,2P%,FT%,PTS
0,1997-1998,106.44827586206897,12.772413793103446,4.406896551724138,66.72413793103448,31.33103448275862,26.279310344827586,19.344827586206897,0.3450323974082074,0.46956072351421196,0.7361238682587588,95.24482758620691
1,1998-1999,100.8965517241379,13.26551724137931,4.458620689655173,64.7896551724138,29.531034482758617,25.77586206896552,18.789655172413795,0.3361060566675332,0.455798605567087,0.7289632107023412,91.24137931034484
2,1999-2000,108.75172413793102,13.765517241379312,4.851724137931033,68.11379310344827,31.78965517241379,25.33793103448276,18.99310344827586,0.3524549098196391,0.4667139168733863,0.7495917256396297,97.1137931034483
3,2000-2001,106.19310344827585,13.744827586206899,4.855172413793104,66.83793103448275,30.71379310344828,24.88275862068966,18.613793103448273,0.3532363271450075,0.45952638910385396,0.7480598669623058,94.6310344827586
4,2001-2002,107.56551724137928,14.779310344827588,5.199999999999999,66.39310344827585,30.84827586206897,23.920689655172417,17.97586206896552,0.3518432104526364,0.464630726082892,0.7514775839700158,95.27586206896552
5,2002-2003,106.31724137931033,14.755172413793101,5.172413793103449,65.95172413793104,30.451724137931038,24.56551724137931,18.62413793103448,0.3505491937368545,0.4617274913730001,0.7581414935429532,95.03103448275863
6,2003-2004,104.12758620689655,14.982758620689655,5.175862068965516,64.68620689655172,29.651724137931033,24.237931034482763,18.179310344827588,0.3454545454545454,0.45839330454715066,0.7500355669369754,93.02758620689656
7,2004-2005,108.14137931034485,15.882758620689655,5.655172413793103,64.3793103448276,30.25172413793103,26.117241379310343,19.789655172413795,0.3560573165436387,0.4698982324584894,0.7577237919197255,97.26896551724137
8,2005-2006,106.89310344827585,16.079310344827586,5.748275862068966,62.86206896551724,30.07586206896552,26.51034482758621,19.813793103448273,0.35749517478018444,0.47844212835984645,0.747398543184183,97.22413793103446
9,2006-2007,108.18620689655172,16.951724137931034,6.058620689655171,62.6344827586207,30.303448275862067,25.98275862068966,19.52758620689655,0.35740439381611055,0.4838141378550979,0.7515593895155938,98.29999999999998
10,2007-2008,111.29310344827583,17.917241379310347,6.475862068965519,63.393103448275866,30.593103448275862,24.97586206896552,18.889655172413793,0.361431870669746,0.4825935596170583,0.7563164434626536,99.49655172413793
11,2008-2009,111.02758620689656,18.07241379310345,6.606896551724139,62.63793103448277,30.386206896551723,24.762068965517237,19.03793103448276,0.36557908796031297,0.4851087255711532,0.7688344241749062,99.65172413793104
12,2009-2010,111.66206896551725,18.275862068965516,6.475862068965517,63.14827586206897,31.041379310344826,24.7,18.74827586206897,0.3543396226415094,0.4915633702834052,0.7590395085857883,100.26206896551724
13,2010-2011,110.94827586206898,18.00344827586207,6.444827586206895,63.07241379310344,30.679310344827588,24.389655172413796,18.641379310344828,0.35797739896571523,0.4864140834290089,0.7643150007069135,99.31379310344828
14,2011-2012,107.58275862068965,18.537931034482757,6.4482758620689635,62.800000000000004,29.958620689655174,22.510344827586213,16.93103448275862,0.34784226190476186,0.47704810015374477,0.752144607843137,96.18620689655172
15,2012-2013,110.70689655172414,20.06206896551724,7.1724137931034475,61.88620689655173,29.9,22.175862068965518,16.66896551724138,0.357511172224132,0.4831448152894634,0.7516715907323899,98.00689655172411
16,2013-2014,112.86206896551725,21.534482758620687,7.755172413793104,61.21379310344827,29.837931034482757,23.682758620689654,17.93448275862069,0.3601281024819856,0.48743803515096895,0.7572801397786838,100.86896551724138
17,2014-2015,112.59655172413791,22.32758620689655,7.813793103448277,61.32413793103448,29.73448275862069,22.93103448275862,17.217241379310344,0.34996138996139003,0.4848740440845704,0.750827067669173,100.14827586206896
18,2015-2016,115.46551724137932,24.034482758620687,8.510344827586207,60.44137931034482,29.675862068965518,23.320689655172416,17.617241379310343,0.3540889526542325,0.49098585120949345,0.7554339790034007,102.49655172413793
19,2016-2017,119.14827586206896,27.06896551724138,9.672413793103447,58.19310344827586,29.3,23.14827586206896,17.872413793103448,0.35732484076433113,0.5034960891206447,0.7720840160881872,105.50344827586208
20,2017-2018,120.26551724137931,29.00689655172414,10.493103448275862,56.94137931034483,29.048275862068966,21.627586206896556,16.58275862068966,0.3617451260104612,0.5101435232846848,0.7667410714285715,106.1586206896552
21,2018-2019,126.31724137931036,32.07586206896551,11.358620689655174,57.0551724137931,29.59310344827586,23.26896551724138,17.806896551724137,0.3541173941087939,0.5186752085096096,0.7652637818612922,111.0551724137931
22,2019-2020,126.05172413793106,34.289655172413795,12.258620689655173,54.33448275862068,28.43793103448276,23.21034482758621,17.96896551724138,0.3575020112630732,0.5233864314273022,0.7741791709998513,111.60344827586208
23,2020-2021,128.18275862068967,34.57241379310344,12.67241379310345,53.77931034482759,28.486206896551725,21.89310344827586,17.058620689655175,0.3665469778575704,0.5296870992562195,0.7791778232792568,112.02413793103447
24,2021-2022,126.81379310344828,35.01379310344827,12.393103448275863,53.09310344827586,28.24827586206896,21.80689655172414,16.941379310344825,0.3539491825881427,0.5320516983828018,0.7768817204301073,110.6
